epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4829,1.39524,3.8033,1.54433,0.02836,0.78977,0.27434,0.19995,1.26989,3.70234,1.21897,0.000182862,0.000182862,0.000182862
2,126.276,1.43138,3.22943,1.57624,0.6078,0.34146,0.39408,0.24376,1.44745,2.48521,1.24802,0.000360905,0.000360905,0.000360905
3,185.473,1.44305,2.79003,1.57431,0.48496,0.43593,0.41926,0.30908,1.19962,2.16894,1.18042,0.000531609,0.000531609,0.000531609
4,245.757,1.48683,2.59681,1.61866,0.38131,0.64819,0.59533,0.35213,1.33184,2.03378,1.31442,0.000522974,0.000522974,0.000522974
5,305.817,1.45282,2.40695,1.60862,0.49496,0.7863,0.83087,0.54887,1.33333,1.83533,1.27083,0.000511965,0.000511965,0.000511965
6,367.132,1.42314,2.26357,1.59036,0.64917,0.73769,0.77592,0.49862,1.4152,1.68912,1.3117,0.000500956,0.000500956,0.000500956
7,427.325,1.41104,2.17603,1.59209,0.5365,0.84186,0.78694,0.47972,1.2875,1.67635,1.24243,0.000489947,0.000489947,0.000489947
8,492.179,1.4202,2.11277,1.60641,0.76698,0.51294,0.70485,0.42983,1.35898,1.68816,1.37464,0.000478938,0.000478938,0.000478938
9,553.238,1.4245,2.06873,1.60492,0.68922,0.62455,0.66949,0.4545,1.27864,1.5473,1.30184,0.00046793,0.00046793,0.00046793
10,614.653,1.38234,1.95982,1.55975,0.78705,0.70025,0.8347,0.51487,1.40436,1.51806,1.33819,0.000456921,0.000456921,0.000456921
11,675.048,1.35461,1.85944,1.54125,0.72628,0.81513,0.78846,0.55037,1.23764,1.39404,1.25215,0.000445912,0.000445912,0.000445912
12,735.542,1.36119,1.8658,1.53597,0.61388,0.76339,0.75772,0.51364,1.33248,1.60603,1.30502,0.000434903,0.000434903,0.000434903
13,794.828,1.3508,1.86415,1.5398,0.76333,0.65321,0.84043,0.58618,1.25584,1.45611,1.24434,0.000423894,0.000423894,0.000423894
14,855.822,1.38363,1.89576,1.56036,0.77822,0.71989,0.75345,0.49874,1.14961,1.38025,1.20361,0.000412886,0.000412886,0.000412886
15,914.242,1.32224,1.7953,1.54171,0.87629,0.66079,0.83043,0.47304,1.30007,1.36646,1.29846,0.000401877,0.000401877,0.000401877
16,972.504,1.31367,1.73824,1.51787,0.87525,0.68011,0.84116,0.57627,1.18026,1.25117,1.21427,0.000390868,0.000390868,0.000390868
17,1030.94,1.30646,1.71086,1.51698,0.79699,0.73011,0.89397,0.52734,1.56269,1.52778,1.41859,0.000379859,0.000379859,0.000379859
18,1089.08,1.25113,1.63275,1.46306,0.68982,0.81735,0.89125,0.58719,1.22767,1.41525,1.22657,0.00036885,0.00036885,0.00036885
19,1147.67,1.3079,1.70824,1.50981,0.74049,0.82762,0.91188,0.59428,1.26429,1.25908,1.20156,0.000357842,0.000357842,0.000357842
20,1206.8,1.29375,1.64154,1.50327,0.85476,0.79352,0.86963,0.65094,1.15798,1.23806,1.21723,0.000346833,0.000346833,0.000346833
21,1265.33,1.25408,1.59724,1.46305,0.76152,0.81631,0.86839,0.66063,1.22429,1.26068,1.18343,0.000335824,0.000335824,0.000335824
22,1323.63,1.21076,1.55423,1.43431,0.58166,0.89065,0.87419,0.64382,1.20332,1.32659,1.17649,0.000324815,0.000324815,0.000324815
23,1381.95,1.2174,1.52752,1.4271,0.78078,0.81795,0.85658,0.59803,1.22471,1.28019,1.20153,0.000313806,0.000313806,0.000313806
24,1440.87,1.21026,1.48975,1.42735,0.89451,0.72298,0.87576,0.62589,1.22313,1.22383,1.19458,0.000302798,0.000302798,0.000302798
25,1500.05,1.17829,1.43853,1.41161,0.87042,0.71715,0.86968,0.67523,1.19573,1.16645,1.15592,0.000291789,0.000291789,0.000291789
26,1559.85,1.15004,1.39119,1.39248,0.90257,0.70865,0.87097,0.6327,1.27571,1.18856,1.21773,0.00028078,0.00028078,0.00028078
27,1618.37,1.21838,1.51034,1.44574,0.71131,0.82759,0.83942,0.66972,1.13782,1.17254,1.13848,0.000269771,0.000269771,0.000269771
28,1677.12,1.18524,1.51993,1.42334,0.89556,0.7134,0.8672,0.68639,1.10395,1.08466,1.11528,0.000258762,0.000258762,0.000258762
29,1736.14,1.17916,1.43394,1.39608,0.91432,0.70144,0.85754,0.69099,1.09442,1.1058,1.10813,0.000247754,0.000247754,0.000247754
30,1795.73,1.15997,1.38765,1.39149,0.72532,0.84186,0.87115,0.67707,1.10145,1.12208,1.12163,0.000236745,0.000236745,0.000236745
31,1856,1.11795,1.34653,1.36377,0.91442,0.68328,0.86317,0.68017,1.14281,1.13772,1.13218,0.000225736,0.000225736,0.000225736
32,1918.24,1.16813,1.37218,1.39031,0.8482,0.70122,0.85861,0.68686,1.06511,1.13097,1.08133,0.000214727,0.000214727,0.000214727
33,1982.46,1.08292,1.32454,1.34654,0.89488,0.68802,0.86442,0.69602,1.0591,1.07034,1.07504,0.000203718,0.000203718,0.000203718
34,2885.67,1.0997,1.29566,1.35986,0.90141,0.67854,0.90842,0.68641,1.1168,1.07754,1.10871,0.00019271,0.00019271,0.00019271
35,2944.28,1.1239,1.36344,1.36159,0.90529,0.69654,0.90309,0.74693,1.03795,1.06185,1.07367,0.000181701,0.000181701,0.000181701
36,3004.68,1.12864,1.36949,1.38027,0.93536,0.68132,0.89937,0.73562,1.13156,1.12476,1.12116,0.000170692,0.000170692,0.000170692
37,3065.97,1.12733,1.39101,1.376,0.88394,0.69972,0.90405,0.71163,1.12744,1.05094,1.13066,0.000159683,0.000159683,0.000159683
38,3127.41,1.09251,1.28648,1.35683,0.92669,0.67658,0.90332,0.74801,1.10845,1.05146,1.11778,0.000148674,0.000148674,0.000148674
39,3212.43,1.06204,1.27515,1.33153,0.92935,0.68365,0.86584,0.66026,1.13377,1.03869,1.13574,0.000137666,0.000137666,0.000137666
40,3370.95,1.07767,1.26914,1.3348,0.88927,0.69239,0.9074,0.7175,1.071,1.03657,1.08471,0.000126657,0.000126657,0.000126657
41,3490.77,1.05621,1.2758,1.3639,0.90559,0.6971,0.86261,0.72472,1.06004,1.06061,1.07086,0.000115648,0.000115648,0.000115648
42,3655.86,0.9913,1.24247,1.30442,0.89145,0.70404,0.85613,0.71225,1.0075,1.07691,1.0521,0.000104639,0.000104639,0.000104639
43,3834.45,1.001,1.23342,1.3359,0.88957,0.71327,0.90742,0.78394,0.95041,1.04869,1.04115,9.36304e-05,9.36304e-05,9.36304e-05
44,3994.65,0.98065,1.21789,1.32972,0.91102,0.70957,0.90875,0.76594,0.9842,1.00965,1.0572,8.26216e-05,8.26216e-05,8.26216e-05
45,4057.62,0.96394,1.17008,1.27709,0.91817,0.70753,0.9073,0.76711,0.95918,1.01207,1.05246,7.16128e-05,7.16128e-05,7.16128e-05
46,4120.58,0.94801,1.15738,1.28543,0.89457,0.7087,0.90683,0.77963,0.92861,0.97501,1.03718,6.0604e-05,6.0604e-05,6.0604e-05
47,4184.83,0.93415,1.11913,1.27229,0.89667,0.71477,0.90799,0.76876,0.96103,0.97419,1.0532,4.95952e-05,4.95952e-05,4.95952e-05
48,4291.26,0.90129,1.08639,1.238,0.90825,0.70552,0.90627,0.772,0.95759,0.96961,1.03879,3.85864e-05,3.85864e-05,3.85864e-05
49,4425.78,0.94566,1.13339,1.28494,0.9022,0.69488,0.90376,0.76963,0.97453,0.99759,1.04357,2.75776e-05,2.75776e-05,2.75776e-05
50,4591.98,0.93322,1.14192,1.28163,0.90166,0.69469,0.90463,0.76932,0.97102,0.98345,1.04796,1.65688e-05,1.65688e-05,1.65688e-05
